slot,act_count,crowd_hits,solo_hits,crowding_idx,solitude_idx,pos_grad_frac
0,75200,20974,49151,0.278910,0.653604,0.000000
1,75200,20234,53110,0.269069,0.706250,0.000000
2,75200,24175,36623,0.321476,0.487008,0.000040
3,75200,35438,21852,0.471250,0.290585,0.000000
4,75200,29210,29966,0.388431,0.398484,0.000000
5,75200,22994,34200,0.305771,0.454787,0.002527
6,75200,36205,14697,0.481449,0.195439,0.000000
7,75200,25146,18139,0.334388,0.241210,0.000000
8,75200,33888,18884,0.450638,0.251117,0.000013
9,75200,22795,38210,0.303125,0.508112,0.048152
10,75200,24139,24817,0.320997,0.330013,0.000000
11,75200,24208,35014,0.321915,0.465612,0.000013
