proto_i,class_i,proto_j,class_j,dist,mean_resid_i,p90_resid_i,mean_resid_j,p90_resid_j
26,3,101,11,0.18417537212371826,0.3362600691616535,0.45300723016262057,0.37169575913155334,0.5120341718196868
101,11,26,3,0.18417537212371826,0.37169575913155334,0.5120341718196868,0.3362600691616535,0.45300723016262057
11,1,184,21,0.1921289712190628,0.33948807282881305,0.37452131509780884,0.4592098769019632,0.6249918818473816
184,21,11,1,0.1921289712190628,0.4592098769019632,0.6249918818473816,0.33948807282881305,0.37452131509780884
322,37,365,42,0.21010030806064606,0.2605106958321163,0.33167429566383366,0.5273530343745617,0.8949068725109102
365,42,322,37,0.21010030806064606,0.5273530343745617,0.8949068725109102,0.2605106958321163,0.33167429566383366
9,1,185,21,0.21220985054969788,0.3033594169160899,0.47128286659717583,0.33047566698356107,0.5141191542148591
185,21,9,1,0.21220985054969788,0.33047566698356107,0.5141191542148591,0.3033594169160899,0.47128286659717583
157,18,185,21,0.21764861047267914,0.33437105754147406,0.4480688512325287,0.33047566698356107,0.5141191542148591
362,41,384,44,0.22892004251480103,0.4383442363013392,0.6045056343078613,0.4620203971862793,0.6612844944000245
384,44,362,41,0.22892004251480103,0.4620203971862793,0.6612844944000245,0.4383442363013392,0.6045056343078613
136,15,347,40,0.2350214421749115,0.4173358430465062,0.6064649939537049,0.4658123885209744,0.7064104378223419
347,40,136,15,0.2350214421749115,0.4658123885209744,0.7064104378223419,0.4173358430465062,0.6064649939537049
38,4,149,17,0.2358577698469162,0.3929695136643745,0.563455069065094,0.28471906579309897,0.35944636464118956
149,17,38,4,0.2358577698469162,0.28471906579309897,0.35944636464118956,0.3929695136643745,0.563455069065094
176,20,239,27,0.2431039959192276,0.3547467586566817,0.48652489185333253,0.5844905248171166,0.9941788196563721
239,27,176,20,0.2431039959192276,0.5844905248171166,0.9941788196563721,0.3547467586566817,0.48652489185333253
82,9,381,44,0.24744024872779846,0.39294775831894796,0.5437711477279663,0.6501999534012979,1.0162747859954833
381,44,82,9,0.24744024872779846,0.6501999534012979,1.0162747859954833,0.39294775831894796,0.5437711477279663
90,10,154,17,0.25110697746276855,0.3866956329345703,0.5273522019386292,0.32800127965648,0.5279367566108704
154,17,90,10,0.25110697746276855,0.32800127965648,0.5279367566108704,0.3866956329345703,0.5273522019386292
51,6,326,37,0.25568529963493347,0.38475333346474555,0.4613438844680786,0.309282851683629,0.4375341415405274
326,37,51,6,0.25568529963493347,0.309282851683629,0.4375341415405274,0.38475333346474555,0.4613438844680786
43,5,245,28,0.2574027180671692,0.31538191934426624,0.4673385739326477,0.3698412748398604,0.46145471334457405
245,28,43,5,0.2574027180671692,0.3698412748398604,0.46145471334457405,0.31538191934426624,0.4673385739326477
10,1,156,18,0.25834980607032776,0.35760517003415504,0.46576080918312074,0.37304382137954234,0.508024662733078
156,18,10,1,0.25834980607032776,0.37304382137954234,0.508024662733078,0.35760517003415504,0.46576080918312074
71,8,101,11,0.2592533528804779,0.3588879576256109,0.4442368924617768,0.37169575913155334,0.5120341718196868
13,1,162,18,0.2593381702899933,0.2688865717500448,0.3641871064901352,0.46677778561909994,0.7128891587257387
162,18,13,1,0.2593381702899933,0.46677778561909994,0.7128891587257387,0.2688865717500448,0.3641871064901352
187,21,10,1,0.2612744867801666,0.6246654812305693,0.8904556632041931,0.35760517003415504,0.46576080918312074
4,0,213,24,0.26397445797920227,0.38472727239131926,0.4784892559051514,0.4291641797983285,0.5631503164768219
213,24,4,0,0.26397445797920227,0.4291641797983285,0.5631503164768219,0.38472727239131926,0.4784892559051514
189,21,13,1,0.26447877287864685,0.4777665776865823,0.6940918982028962,0.2688865717500448,0.3641871064901352
78,9,385,44,0.2657206654548645,0.3215087188614739,0.424628558754921,0.4719327160945305,0.6182620644569397
385,44,78,9,0.2657206654548645,0.4719327160945305,0.6182620644569397,0.3215087188614739,0.424628558754921
97,11,319,37,0.2662414014339447,0.2995562372785626,0.42693960666656494,0.268622639504346,0.3475611239671707
319,37,97,11,0.2662414014339447,0.268622639504346,0.3475611239671707,0.2995562372785626,0.42693960666656494
84,9,383,44,0.2681620717048645,0.2786268527093141,0.3609110891819,0.41722798181904686,0.5116887122392655
383,44,84,9,0.2681620717048645,0.41722798181904686,0.5116887122392655,0.2786268527093141,0.3609110891819
19,2,226,26,0.2694222927093506,0.3829769408980081,0.5319807052612305,0.3225429770019319,0.4525344967842102
226,26,19,2,0.2694222927093506,0.3225429770019319,0.4525344967842102,0.3829769408980081,0.5319807052612305
382,44,101,11,0.27129852771759033,0.5510327832566367,0.8585138440132143,0.37169575913155334,0.5120341718196868
45,5,169,19,0.2749274671077728,0.37277677068944837,0.5500959753990173,0.43419252990222557,0.5645472407341003
169,19,45,5,0.2749274671077728,0.43419252990222557,0.5645472407341003,0.37277677068944837,0.5500959753990173
360,41,386,44,0.27689433097839355,0.4564769949231829,0.5855198979377747,0.49742858500584314,1.0506459951400757
386,44,360,41,0.27689433097839355,0.49742858500584314,1.0506459951400757,0.4564769949231829,0.5855198979377747
192,22,371,43,0.2821642756462097,0.35418350390485814,0.4534262478351593,0.35915575046902115,0.5152117311954498
371,43,192,22,0.2821642756462097,0.35915575046902115,0.5152117311954498,0.35418350390485814,0.4534262478351593
199,23,278,32,0.282257080078125,0.6554829714627102,1.1341097831726075,0.4224940839138898,0.5507868885993957
278,32,199,23,0.282257080078125,0.4224940839138898,0.5507868885993957,0.6554829714627102,1.1341097831726075
177,20,291,33,0.2828717827796936,0.3825119943530471,0.5908280849456787,0.32512847799807787,0.47009119391441345
291,33,177,20,0.2828717827796936,0.32512847799807787,0.47009119391441345,0.3825119943530471,0.5908280849456787
6,0,208,24,0.2845986485481262,0.31359244329588754,0.3753759264945984,0.31640308016333085,0.4370983898639679
208,24,6,0,0.2845986485481262,0.31640308016333085,0.4370983898639679,0.31359244329588754,0.3753759264945984
249,28,45,5,0.2870268225669861,0.35048265680670737,0.49965415596961976,0.37277677068944837,0.5500959753990173
42,5,241,28,0.2888461649417877,0.3951121788957845,0.6220722198486328,0.4118454105713788,0.49550700187683105
241,28,42,5,0.2888461649417877,0.4118454105713788,0.49550700187683105,0.3951121788957845,0.6220722198486328
7,0,212,24,0.28918159008026123,0.35444493073484173,0.4347049653530121,0.3136175647377968,0.32835257351398467
212,24,7,0,0.28918159008026123,0.3136175647377968,0.32835257351398467,0.35444493073484173,0.4347049653530121
79,9,385,44,0.2943010628223419,0.34717151522636414,0.42316143512725835,0.4719327160945305,0.6182620644569397
3,0,207,24,0.29431581497192383,0.4970733124181765,0.6517416119575501,0.3956318866947423,0.5030317544937134
207,24,3,0,0.29431581497192383,0.3956318866947423,0.5030317544937134,0.4970733124181765,0.6517416119575501
134,15,348,40,0.2975568175315857,0.4697475731372833,0.6304615318775177,0.5021844989266889,0.7073180794715881
348,40,134,15,0.2975568175315857,0.5021844989266889,0.7073180794715881,0.4697475731372833,0.6304615318775177
125,14,131,15,0.29889434576034546,0.40864014863967896,0.6343474030494691,0.3525590247967664,0.45077720880508426
131,15,125,14,0.29889434576034546,0.3525590247967664,0.45077720880508426,0.40864014863967896,0.6343474030494691
349,40,134,15,0.2990458309650421,0.4865619399045643,0.7359966039657593,0.4697475731372833,0.6304615318775177
123,14,133,15,0.2995373606681824,0.36227814160114113,0.5213905513286592,0.2852469895567213,0.38066333532333374
133,15,123,14,0.2995373606681824,0.2852469895567213,0.38066333532333374,0.36227814160114113,0.5213905513286592
99,11,322,37,0.30100205540657043,0.3456993301709493,0.5019716262817383,0.2605106958321163,0.33167429566383366
314,36,226,26,0.30121150612831116,0.39162730118807626,0.4855711370706558,0.3225429770019319,0.4525344967842102
356,41,381,44,0.30213358998298645,0.4772938127103059,0.6929319500923157,0.6501999534012979,1.0162747859954833
5,0,212,24,0.30469265580177307,0.3902083124433245,0.49993758201599126,0.3136175647377968,0.32835257351398467
74,8,384,44,0.30574002861976624,0.36807648766608464,0.45755308866500854,0.4620203971862793,0.6612844944000245
50,5,246,28,0.30644387006759644,0.34164058636216554,0.4233518958091736,0.40309945387499674,0.5313930749893189
