proto,class,support,mean_resid,p90_resid
0,0,30.0,0.385546816388766,0.4809422314167023
1,0,29.0,0.4074270653313604,0.5743678450584412
2,0,10.0,0.4319767475128174,0.6749587535858154
3,0,109.0,0.4970733124181765,0.6517416119575501
4,0,20.0,0.38472727239131926,0.4784892559051514
5,0,35.0,0.3902083124433245,0.49993758201599126
6,0,35.0,0.31359244329588754,0.3753759264945984
7,0,23.0,0.35444493073484173,0.4347049653530121
8,1,10.0,0.37766457051038743,0.5025986909866332
9,1,68.0,0.3033594169160899,0.47128286659717583
10,1,79.0,0.35760517003415504,0.46576080918312074
11,1,11.0,0.33948807282881305,0.37452131509780884
12,1,20.0,0.3064429424703121,0.3845017582178116
13,1,16.0,0.2688865717500448,0.3641871064901352
14,1,30.0,0.2722279359896978,0.40362591445446017
15,1,6.0,0.20748757322629294,0.2653762996196747
16,1,11.0,0.33441397683186963,0.380003958940506
17,2,17.0,0.5479109813185299,0.7010014772415161
18,2,40.0,0.43263215869665145,0.6026619672775269
19,2,43.0,0.3829769408980081,0.5319807052612305
20,2,23.0,0.48738061085991236,0.6420874238014221
21,2,29.0,0.5973066420390688,0.7430228590965271
22,2,27.0,0.5088394240096763,0.6470532059669496
23,2,21.0,0.5628216124716259,0.6685859560966492
24,2,43.0,0.48246095970619557,0.6040705680847169
25,2,98.0,0.5666491596066222,0.7203744411468506
26,3,32.0,0.3362600691616535,0.45300723016262057
27,3,80.0,0.4771601749584079,0.6530676603317263
28,3,28.0,0.3748957211417811,0.48272436261177065
29,3,140.0,0.381362585829837,0.5338065683841705
30,3,43.0,0.2876049373732057,0.3987419664859774
31,3,43.0,0.3860849959905757,0.49968457818031314
32,3,26.0,0.3583574128838686,0.5088467597961426
33,4,50.0,0.36242891490459445,0.49983072280883795
34,4,110.0,0.5956732999194753,0.7154836773872376
35,4,40.0,0.44064798429608343,0.5657247006893158
36,4,24.0,0.599022480348746,0.8441201925277709
37,4,20.0,0.5005853801965714,0.5972973704338075
38,4,37.0,0.3929695136643745,0.563455069065094
39,4,28.0,0.47634844056197573,0.6036009192466736
40,4,48.0,0.4986377035578092,0.6842768728733063
41,5,21.0,0.3940834601720174,0.538129985332489
42,5,23.0,0.3951121788957845,0.6220722198486328
43,5,39.0,0.31538191934426624,0.4673385739326477
44,5,25.0,0.4405995309352875,0.6397752642631532
45,5,61.0,0.37277677068944837,0.5500959753990173
46,5,25.0,0.3955046480894089,0.5806831002235414
47,5,20.0,0.559167355298996,0.7509802758693696
48,5,55.0,0.4724322944879532,0.6187344431877136
49,5,61.0,0.47727484878946524,0.600374162197113
50,5,17.0,0.34164058636216554,0.4233518958091736
51,6,31.0,0.38475333346474555,0.4613438844680786
52,6,34.0,0.44485853612422943,0.5697451174259185
53,6,34.0,0.31639573854558606,0.4327483087778091
54,6,130.0,0.4885544323004209,0.6456762373447419
55,6,27.0,0.407611479361852,0.5186067521572116
56,6,22.0,0.469264262101867,0.5472920835018158
57,6,50.0,0.345143533051014,0.4584914416074753
58,6,35.0,0.3384750851563045,0.44362837076187134
59,7,39.0,0.2882527651695105,0.3751147210597992
60,7,23.0,0.38448165162749914,0.473847895860672
61,7,48.0,0.3489745995029807,0.43669284880161285
62,7,32.0,0.35573792923241854,0.44657448530197147
63,7,21.0,0.450983696040653,0.55515056848526
64,7,137.0,0.5291258207637898,0.6965411782264711
65,7,37.0,0.36709523241262176,0.48992741107940674
66,7,30.0,0.3554155538479487,0.48476603627204895
67,7,23.0,0.4069128379873607,0.5371126651763916
68,8,33.0,0.5700028349052776,0.727959704399109
69,8,24.0,0.4789498634636402,0.7036140859127045
70,8,29.0,0.43162544277207604,0.65018972158432
71,8,43.0,0.3588879576256109,0.4442368924617768
72,8,37.0,0.49460145025639923,0.5973063945770264
73,8,137.0,0.5399636019320384,0.7425882816314697
74,8,21.0,0.36807648766608464,0.45755308866500854
75,8,40.0,0.4530410163104534,0.6439003944396973
76,9,14.0,0.33031767926045824,0.44754457473754883
77,9,130.0,0.4857713227088635,0.6084828555583954
78,9,18.0,0.3215087188614739,0.424628558754921
79,9,4.0,0.34717151522636414,0.42316143512725835
80,9,35.0,0.30182333077703205,0.411795312166214
81,9,23.0,0.2728891949290815,0.41883856058120733
82,9,61.0,0.39294775831894796,0.5437711477279663
83,9,10.0,0.3688236176967621,0.5396948456764221
84,9,23.0,0.2786268527093141,0.3609110891819
85,10,20.0,0.5663555949926377,0.7614075303077698
86,10,120.0,0.504693015664816,0.6675197064876557
87,10,45.0,0.3033413416809506,0.4088945209980011
88,10,23.0,0.4963279509026071,0.649299693107605
89,10,50.0,0.45529799312353136,0.6059349656105042
90,10,75.0,0.3866956329345703,0.5273522019386292
91,10,23.0,0.4130226827186087,0.46292006969451904
92,10,11.0,0.4944975267757069,0.6465495824813843
93,10,16.0,0.4015855435281992,0.5086022317409515
94,11,11.0,0.4454644674604589,0.5581307411193848
95,11,32.0,0.32281687995418906,0.4043435215950012
96,11,37.0,0.32859115906663844,0.4656610369682312
97,11,33.0,0.2995562372785626,0.42693960666656494
98,11,60.0,0.4184425900379817,0.5964248895645141
99,11,15.0,0.3456993301709493,0.5019716262817383
100,11,121.0,0.4655995013053752,0.6643064022064209
101,11,47.0,0.37169575913155334,0.5120341718196868
102,11,20.0,0.4634684190154076,0.5767993211746216
103,12,38.0,0.4688619037992076,0.5778897285461426
104,12,26.0,0.5044293976747073,0.606425017118454
105,12,40.0,0.527167184650898,0.705756437778473
106,12,36.0,0.4517792339126269,0.5744994282722473
107,12,27.0,0.5248829998351909,0.6824393153190613
108,12,53.0,0.48101181410393623,0.6169524669647217
109,12,124.0,0.45046541551428454,0.5964962780475617
110,12,38.0,0.4154908704130273,0.5615029335021974
111,13,52.0,0.34286598001535123,0.5140185743570327
112,13,29.0,0.3324239418424409,0.41115357875823977
113,13,120.0,0.5218688398599625,0.690483558177948
114,13,18.0,0.5318080592486594,0.7770173251628876
115,13,40.0,0.36677515171468256,0.49338159263134
116,13,44.0,0.4589252363551747,0.5937735140323639
117,13,18.0,0.41783284147580463,0.5485596358776093
118,13,23.0,0.38745706172093103,0.488300222158432
119,13,13.0,0.41357521139658415,0.5240464866161346
120,14,117.0,0.4632739904854033,0.6390125632286072
121,14,52.0,0.5038165326874989,0.6890305519104003
122,14,21.0,0.48903295681590125,0.6344711780548096
123,14,43.0,0.36227814160114113,0.5213905513286592
124,14,38.0,0.3312207436875293,0.4614875316619873
125,14,50.0,0.40864014863967896,0.6343474030494691
126,14,31.0,0.33758327509126357,0.49611446261405945
127,14,35.0,0.4726617327758244,0.627632212638855
128,15,18.0,0.3330666662918197,0.4863497018814087
129,15,63.0,0.48324817182525753,0.6819526314735413
130,15,34.0,0.3867659261998008,0.509154862165451
131,15,17.0,0.3525590247967664,0.45077720880508426
132,15,23.0,0.40654246703438135,0.5466677069664001
133,15,21.0,0.2852469895567213,0.38066333532333374
134,15,20.0,0.4697475731372833,0.6304615318775177
135,15,16.0,0.6559809911996126,0.8375736474990845
136,15,12.0,0.4173358430465062,0.6064649939537049
137,16,22.0,0.39728065715594724,0.5714635252952579
138,16,29.0,0.4749019855055316,0.621202802658081
139,16,42.0,0.41324078078780857,0.5690826296806335
140,16,12.0,0.4887719949086507,0.565798282623291
141,16,41.0,0.3625555321937654,0.5205500721931458
142,16,38.0,0.545340065893374,0.6962724149227143
143,16,17.0,0.5405583521899056,0.689786970615387
144,16,131.0,0.4504752266043015,0.5830366611480713
145,16,39.0,0.4472255271214705,0.5941133856773376
146,17,15.0,0.5059499243895212,0.6329382538795472
147,17,120.0,0.4521511569619179,0.6127904176712037
148,17,41.0,0.31835203854049127,0.5143892168998718
149,17,62.0,0.28471906579309897,0.35944636464118956
150,17,51.0,0.353780597448349,0.4861665368080139
151,17,17.0,0.4297216008691227,0.5012593746185303
152,17,18.0,0.4380732981695069,0.5684830367565155
153,17,18.0,0.3921661881936921,0.5507747352123261
154,17,41.0,0.32800127965648,0.5279367566108704
155,18,4.0,0.5063317641615868,0.7561967968940735
156,18,40.0,0.37304382137954234,0.508024662733078
157,18,23.0,0.33437105754147406,0.4480688512325287
158,18,20.0,0.3468754433095455,0.444754359126091
159,18,35.0,0.48189566476004464,0.6669857025146485
160,18,17.0,0.42307063586571636,0.5343027591705323
161,18,27.0,0.43513030696798255,0.5252354979515076
162,18,45.0,0.46677778561909994,0.7128891587257387
163,18,31.0,0.3916875720024109,0.5167022347450256
164,18,8.0,0.3889027200639248,0.5205322980880737
165,19,16.0,0.5277120489627123,0.6096178889274597
166,19,34.0,0.44686955213546753,0.6272003054618835
167,19,28.0,0.4450549738747733,0.5911239266395569
168,19,23.0,0.47196864433910535,0.6913570284843444
169,19,41.0,0.43419252990222557,0.5645472407341003
170,19,20.0,0.461363759636879,0.5849092662334443
171,19,151.0,0.5093976953961202,0.6612358093261719
172,19,36.0,0.48653973307874465,0.6554604768753052
173,19,10.0,0.3693651095032692,0.4617255955934524
174,20,46.0,0.32799803400817124,0.45477257668972015
175,20,124.0,0.5540933897418361,0.7538389146327973
176,20,53.0,0.3547467586566817,0.48652489185333253
177,20,27.0,0.3825119943530471,0.5908280849456787
178,20,34.0,0.3745594572495012,0.4770769506692886
179,20,45.0,0.4461571517917845,0.5841501593589783
180,20,17.0,0.40892482855740714,0.5889585971832275
181,20,27.0,0.37748279726063766,0.4864211738109589
182,20,15.0,0.3355473866065343,0.41955288648605343
183,21,13.0,0.42533718393399167,0.5532266616821289
184,21,17.0,0.4592098769019632,0.6249918818473816
185,21,22.0,0.33047566698356107,0.5141191542148591
186,21,26.0,0.41573814016122085,0.6852031350135803
