class,picked,y_pred,p_pred,loss
0,0,26,0.856894,8.662512
0,1,4,0.124096,6.131789
0,2,1,0.272988,3.691857
1,3,35,0.212894,5.437849
1,4,2,0.284050,5.345468
1,5,18,0.228811,4.434846
2,6,27,0.828266,7.959014
2,7,42,0.982920,6.642560
2,8,21,0.564962,6.526139
3,9,39,0.285365,5.858041
3,10,41,0.657306,3.881668
3,11,34,0.250925,3.518822
4,12,36,0.490578,6.425289
4,13,44,0.283829,4.244772
4,14,34,0.275130,4.010154
5,15,44,0.464998,6.827978
5,16,2,0.368160,6.018555
5,17,44,0.277383,5.362777
6,18,1,0.258950,4.545805
6,19,21,0.508737,4.322570
6,20,30,0.763359,3.978294
7,21,46,0.571643,5.654901
7,22,4,0.716928,5.108959
7,23,4,0.322887,4.597322
8,24,4,0.796423,6.439033
8,25,25,0.525860,6.289606
8,26,14,0.555497,6.013593
9,27,3,0.662051,6.475091
9,28,3,0.547312,4.988955
9,29,13,0.312807,3.747469
10,30,20,0.647141,4.439433
10,31,17,0.911700,3.894772
10,32,38,0.566059,3.589521
11,33,39,0.535936,8.408322
11,34,24,0.357877,5.271739
11,35,33,0.229118,4.462872
12,36,38,0.907443,9.912066
12,37,36,0.353838,7.114528
12,38,36,0.656296,5.552902
13,39,22,0.942367,14.067999
13,40,26,0.340744,8.367528
13,41,11,0.937740,5.200397
14,42,40,0.474307,4.493775
14,43,16,0.838452,4.260063
14,44,39,0.573279,3.944527
15,45,38,0.781261,7.693396
15,46,12,0.872881,5.988107
15,47,8,0.424285,5.161844
16,48,20,0.238979,8.159757
16,49,38,0.439541,7.370426
16,50,37,0.233037,5.412602
17,51,38,0.496548,5.082430
17,52,22,0.411009,4.355514
17,53,4,0.119589,4.092018
18,54,46,0.451663,6.164665
18,55,46,0.969726,5.716247
18,56,12,0.568234,5.675461
19,57,37,0.454165,8.139744
19,58,37,0.260838,5.248390
19,59,28,0.406642,4.763482
20,60,36,0.779874,10.033824
20,61,36,0.399424,4.980742
20,62,37,0.351766,4.048237
21,63,25,0.650244,8.777511
21,64,46,0.417989,7.157385
21,65,38,0.412526,6.758083
22,66,17,0.894455,4.217434
22,67,17,0.711012,3.657789
22,68,2,0.192693,3.626464
23,69,7,0.885655,11.183352
23,70,27,0.437439,5.806416
23,71,45,0.293174,4.793431
24,72,18,0.255341,10.182124
24,73,45,0.845016,7.439756
24,74,6,0.238790,3.651334
25,75,42,0.449325,8.675309
25,76,22,0.373631,4.601287
25,77,7,0.398643,4.598764
26,78,25,0.734944,6.856690
26,79,36,0.974386,5.521779
26,80,38,0.366900,5.470285
27,81,9,0.335086,5.845140
27,82,1,0.232797,4.170636
27,83,45,0.319772,4.155219
28,84,23,0.340078,8.201407
28,85,32,0.742853,7.377279
28,86,1,0.360198,6.625820
29,87,34,0.680767,6.759686
29,88,46,0.587814,5.837711
29,89,46,0.823893,4.936931
30,90,5,0.509886,9.484141
30,91,43,0.437209,7.324127
30,92,13,0.799988,6.285891
31,93,22,0.545006,6.677310
31,94,19,0.401283,5.889993
31,95,32,0.717583,5.104742
32,96,30,0.374700,4.306096
32,97,23,0.426322,2.977678
32,98,19,0.180206,2.474719
33,99,37,0.622687,7.537171
33,100,4,0.816425,5.212487
33,101,22,0.482748,4.502978
34,102,4,0.886368,7.722245
34,103,21,0.240541,7.288939
34,104,38,0.798492,6.531009
35,105,8,0.409247,6.493062
35,106,3,0.409380,5.575563
35,107,44,0.537016,5.453717
36,108,7,0.613461,10.238724
36,109,46,0.527983,9.146031
36,110,10,0.958445,8.609090
37,111,11,0.172616,5.448929
37,112,28,0.187860,5.361789
37,113,39,0.172346,4.265385
38,114,13,0.728986,13.432156
38,115,13,0.618423,13.030843
38,116,13,0.948019,12.112667
39,117,42,0.894208,10.961755
39,118,14,0.936100,3.963118
39,119,44,0.209664,3.922674
40,120,3,0.672719,6.500820
40,121,11,0.296389,5.853547
40,122,45,0.574373,4.989195
41,123,16,0.973418,8.154837
41,124,16,0.910086,6.912001
41,125,5,0.588024,6.565022
42,126,8,0.452972,9.982038
42,127,38,0.464477,7.010637
42,128,29,0.754594,6.704674
43,129,30,0.626385,9.921383
43,130,36,0.559542,8.353039
43,131,23,0.508422,5.946938
44,132,26,0.828118,10.575151
44,133,26,0.990912,8.448809
44,134,26,0.759289,8.282548
45,135,36,0.427482,8.681387
45,136,27,0.954314,8.122862
45,137,39,0.196683,7.248252
46,138,12,0.935355,9.152558
46,139,29,0.891975,5.160925
46,140,29,0.930677,5.136695
