class,picked,y_pred,p_pred,loss
0,0,26,0.589170,7.305254
0,1,38,0.319050,7.085100
0,2,35,0.284481,5.092059
1,3,2,0.699482,8.296689
1,4,2,0.208591,6.071446
1,5,19,0.233211,5.464008
2,6,27,0.849852,8.807652
2,7,21,0.631195,6.984183
2,8,41,0.384797,5.745505
3,9,19,0.317860,4.109978
3,10,41,0.240716,3.180485
3,11,2,0.303239,3.163095
4,12,36,0.601738,6.817093
4,13,36,0.577958,4.949657
4,14,10,0.333547,4.798486
5,15,44,0.376653,6.153808
5,16,28,0.435315,5.043054
5,17,9,0.192287,4.830948
6,18,32,0.581910,4.987788
6,19,30,0.661766,4.154586
6,20,37,0.294639,3.480835
7,21,3,0.495082,6.264235
7,22,4,0.406635,5.070379
7,23,15,0.233883,3.916669
8,24,36,0.602723,5.193703
8,25,33,0.910934,4.767820
8,26,36,0.382397,4.725293
9,27,38,0.292350,7.350474
9,28,34,0.896420,5.102163
9,29,28,0.325870,4.413297
10,30,27,0.318806,5.068453
10,31,45,0.557246,4.874375
10,32,36,0.668709,4.737421
11,33,12,0.256387,8.625875
11,34,35,0.251064,6.184038
11,35,44,0.351630,5.197948
12,36,38,0.835487,7.261305
12,37,6,0.567924,5.750906
12,38,36,0.556600,4.625165
13,39,22,0.952059,16.053846
13,40,36,0.507404,9.141253
13,41,11,0.462126,5.471134
14,42,44,0.326231,5.425201
14,43,16,0.766119,4.980441
14,44,45,0.354567,4.564167
15,45,38,0.402148,7.016121
15,46,12,0.665946,6.156315
15,47,8,0.375630,5.449870
16,48,17,0.301086,8.529113
16,49,34,0.200468,7.741521
16,50,6,0.474795,6.702181
17,51,34,0.317736,6.532565
17,52,21,0.162750,5.402792
17,53,2,0.171627,5.212318
18,54,28,0.793785,10.970308
18,55,32,0.224061,6.132504
18,56,35,0.835427,5.498381
19,57,46,0.195466,4.920122
19,58,31,0.410179,4.892262
19,59,31,0.700019,4.509545
20,60,36,0.377783,6.555780
20,61,27,0.675731,5.517988
20,62,45,0.766375,4.760945
21,63,25,0.389153,7.037187
21,64,40,0.338450,6.778526
21,65,40,0.123486,6.649467
22,66,17,0.840328,6.911147
22,67,32,0.479397,5.944983
22,68,17,0.694772,4.790671
23,69,7,0.705457,5.411675
23,70,31,0.564717,4.846704
23,71,34,0.512925,4.225995
24,72,5,0.219848,9.983881
24,73,45,0.840874,8.520471
24,74,30,0.603998,5.472732
25,75,4,0.354085,7.467310
25,76,8,0.877964,6.137422
25,77,43,0.285907,5.114715
26,78,2,0.428341,5.475569
26,79,36,0.903980,5.305498
26,80,44,0.353601,4.869398
27,81,45,0.659610,5.904540
27,82,36,0.421184,5.688653
27,83,10,0.653069,5.062447
28,84,32,0.439348,9.330958
28,85,1,0.396016,9.302537
28,86,32,0.589825,6.482884
29,87,34,0.600166,10.610069
29,88,46,0.904430,5.982674
29,89,34,0.301200,5.668525
30,90,28,0.735050,8.870079
30,91,22,0.715216,7.237926
30,92,32,0.578946,6.811305
31,93,45,0.402373,9.423384
31,94,19,0.226657,5.571947
31,95,45,0.568610,4.856436
32,96,12,0.112167,4.894678
32,97,12,0.269013,4.098365
32,98,30,0.270103,3.171702
33,99,11,0.919445,9.839396
33,100,34,0.217492,5.943091
33,101,4,0.786321,5.297457
34,102,45,0.479370,9.464418
34,103,22,0.573829,7.662872
34,104,4,0.762896,7.637430
35,105,8,0.416365,8.386827
35,106,3,0.448478,7.467198
35,107,41,0.317756,6.458311
36,108,7,0.885126,11.793551
36,109,46,0.325042,9.673470
36,110,10,0.748381,7.628121
37,111,27,0.834950,8.579717
37,112,39,0.320318,6.099322
37,113,11,0.456773,5.743445
38,114,13,0.561144,14.222491
38,115,13,0.418631,13.302593
38,116,13,0.810197,11.075031
39,117,42,0.926159,11.127393
39,118,16,0.232921,4.782751
39,119,14,0.974742,4.161922
40,120,3,0.642555,9.598209
40,121,28,0.272175,7.747095
40,122,12,0.489385,5.942102
41,123,16,0.883136,9.341116
41,124,16,0.749309,8.306765
41,125,6,0.537236,8.303802
42,126,11,0.485659,8.115533
42,127,17,0.857862,8.043621
42,128,29,0.606226,6.702014
43,129,36,0.365729,9.990211
43,130,30,0.480161,7.434801
43,131,27,0.656980,6.721387
44,132,26,0.587152,7.878365
44,133,29,0.256032,7.450313
44,134,26,0.845307,6.931150
45,135,27,0.985889,13.225494
45,136,36,0.214930,10.815992
45,137,26,0.322872,9.476684
46,138,12,0.915387,8.770570
46,139,14,0.327357,6.032961
46,140,35,0.777097,5.860724
