class,picked,y_pred,p_pred,loss
0,0,39,0.433519,11.707849
0,1,46,0.366951,9.171339
0,2,38,0.394661,7.018374
1,3,35,0.852615,9.753815
1,4,18,0.437214,9.303349
1,5,19,0.395855,7.964602
2,6,27,0.761479,10.855028
2,7,27,0.372099,8.914884
2,8,21,0.613982,8.482155
3,9,39,0.498950,9.556069
3,10,19,0.366023,5.672932
3,11,2,0.832872,5.147048
4,12,40,0.287995,9.756740
4,13,10,0.848499,9.611703
4,14,26,0.341348,9.135835
5,15,2,0.955002,9.027049
5,16,3,0.464050,7.967019
5,17,44,0.308503,6.618248
6,18,0,0.597127,11.879375
6,19,20,0.758450,9.773061
6,20,26,0.708031,7.943981
7,21,5,0.562864,7.683706
7,22,19,0.535325,5.473449
7,23,35,0.391134,5.106189
8,24,15,0.437147,10.032376
8,25,16,0.445143,8.299994
8,26,14,0.265082,7.550706
9,27,22,0.674995,16.481501
9,28,2,0.159691,8.798425
9,29,19,0.498667,8.791283
10,30,38,0.400459,7.759594
10,31,16,0.266408,6.887223
10,32,2,0.489386,6.645092
11,33,14,0.321429,10.336141
11,34,2,0.410478,5.977748
11,35,36,0.626869,5.911030
12,36,38,0.596822,14.375352
12,37,39,0.861182,10.302956
12,38,16,0.526579,8.609309
13,39,22,0.829086,8.834824
13,40,10,0.764199,7.883379
13,41,14,0.378670,7.509893
14,42,39,0.433601,6.689090
14,43,35,0.986925,5.769375
14,44,27,0.844985,5.465602
15,45,8,0.474030,12.690780
15,46,28,0.310272,10.648514
15,47,8,0.725149,10.220136
16,48,30,0.292632,8.800175
16,49,35,0.522493,8.448672
16,50,7,0.295747,8.227630
17,51,19,0.707213,15.555194
17,52,30,0.557832,12.908813
17,53,21,0.331485,12.737997
18,54,12,0.845376,10.289927
18,55,46,0.637399,8.270332
18,56,30,0.481868,7.786665
19,57,7,0.932665,8.053475
19,58,18,0.515648,6.955929
19,59,13,0.231789,6.721907
20,60,36,0.623528,10.889227
20,61,45,0.526371,9.496393
20,62,42,0.786336,7.360158
21,63,46,0.899272,7.424462
21,64,16,0.166133,6.424492
21,65,45,0.914783,5.932421
22,66,23,0.658006,8.810629
22,67,21,0.361844,8.691295
22,68,41,0.286122,6.907873
23,69,7,0.953612,17.171625
23,70,11,0.738557,8.085588
23,71,33,0.951416,6.707243
24,72,45,0.783603,11.934400
24,73,39,0.628053,7.470855
24,74,5,0.371138,6.433703
25,75,18,0.793173,12.840025
25,76,12,0.227879,10.254379
25,77,42,0.638377,9.875660
26,78,5,0.251936,10.617811
26,79,0,0.537424,6.972976
26,80,3,0.441615,6.804662
27,81,43,0.337272,12.916101
27,82,12,0.502569,10.133913
27,83,36,0.445141,8.668639
28,84,18,0.428315,23.463877
28,85,18,0.378738,7.435512
28,86,15,0.420470,7.079244
29,87,19,0.530429,8.149712
29,88,21,0.147508,6.333762
29,89,46,0.593024,5.283010
30,90,5,0.797967,15.227267
30,91,43,0.171638,6.896809
30,92,4,0.252972,6.857500
31,93,12,0.373254,12.304962
31,94,19,0.584871,9.377745
31,95,12,0.405477,7.966631
32,96,19,0.726907,7.479912
32,97,22,0.845966,6.684571
32,98,17,0.490244,6.138506
33,99,1,0.713556,13.550707
33,100,19,0.262490,10.405830
33,101,40,0.274002,7.871539
34,102,38,0.894699,12.209064
34,103,45,0.300328,11.408669
34,104,43,0.686709,11.301485
35,105,26,0.612682,6.897129
35,106,11,0.281153,6.093062
35,107,46,0.980426,5.760287
36,108,7,0.838667,13.574314
36,109,46,0.580167,9.783096
36,110,3,0.987734,8.196506
37,111,39,0.426070,13.068790
37,112,28,0.370146,12.417740
37,113,36,0.620304,11.041095
38,114,13,0.351025,6.653223
38,115,24,0.337227,6.049706
38,116,19,0.772444,5.928049
39,117,42,0.691043,11.804607
39,118,2,0.954594,9.291705
39,119,8,0.547068,6.117449
40,120,25,0.507019,14.315536
40,121,5,0.771747,13.495872
40,122,2,0.330608,10.720797
41,123,35,0.371751,11.153772
41,124,5,0.547318,10.348579
41,125,43,0.788479,9.655907
42,126,8,0.327711,13.693285
42,127,10,0.959744,13.421957
42,128,23,0.809020,11.553683
43,129,24,0.297390,13.123439
43,130,19,0.430979,12.758155
43,131,30,0.398844,10.867198
44,132,24,0.448771,9.225510
44,133,32,0.730350,7.551646
44,134,37,0.547546,7.081548
45,135,27,0.881444,16.417942
45,136,27,0.766679,15.998734
45,137,27,0.855323,15.620654
46,138,29,0.840451,14.408901
46,139,12,0.732421,10.509653
46,140,29,0.925335,9.529438
