class,picked,y_pred,p_pred,loss
0,0,39,0.294922,8.372091
0,1,5,0.125637,7.378106
0,2,39,0.196220,7.136881
1,3,5,0.148458,16.749281
1,4,19,0.318653,15.707563
1,5,19,0.274884,12.380157
2,6,26,0.162589,6.541350
2,7,25,0.091848,5.851288
2,8,46,0.133657,5.712083
3,9,46,0.233612,6.177300
3,10,37,0.109978,6.158855
3,11,46,0.217759,5.525832
4,12,12,0.086826,6.778344
4,13,39,0.097579,6.526287
4,14,27,0.108948,5.826213
5,15,46,0.212735,6.623427
5,16,27,0.080294,5.810702
5,17,19,0.110888,5.717636
6,18,21,0.269482,7.497163
6,19,17,0.160182,6.514214
6,20,32,0.296708,5.954601
7,21,32,0.148709,6.368464
7,22,37,0.081373,5.946063
7,23,33,0.073675,5.334318
8,24,29,0.170973,5.711962
8,25,45,0.432286,5.694422
8,26,14,0.247740,5.340485
9,27,39,0.149592,6.571455
9,28,24,0.226074,6.517002
9,29,11,0.159595,6.459544
10,30,12,0.088895,6.137934
10,31,46,0.108305,5.900245
10,32,46,0.090214,5.601269
11,33,5,0.236873,9.131882
11,34,19,0.109122,8.159072
11,35,33,0.088688,7.406834
12,36,34,0.171205,8.005497
12,37,27,0.213487,6.417076
12,38,18,0.196153,6.272575
13,39,45,0.120576,7.335754
13,40,46,0.077298,7.223639
13,41,45,0.098720,6.963239
14,42,46,0.207907,7.362868
14,43,37,0.078218,5.176322
14,44,46,0.196255,5.019248
15,45,39,0.248297,6.699540
15,46,39,0.245399,6.331766
15,47,39,0.143409,6.197470
16,48,34,0.126283,7.916580
16,49,7,0.134532,6.771499
16,50,33,0.151373,6.672141
17,51,16,0.145343,9.822009
17,52,19,0.181410,7.007662
17,53,46,0.158268,5.971909
18,54,3,0.224711,15.317768
18,55,35,0.175430,13.607053
18,56,35,0.212865,13.181630
19,57,3,0.228786,7.910911
19,58,31,0.187665,7.676125
19,59,31,0.202016,7.631182
20,60,19,0.264888,7.392071
20,61,39,0.380436,6.446203
20,62,2,0.106504,6.239795
21,63,6,0.083410,8.998322
21,64,6,0.155400,8.525119
21,65,44,0.120271,8.463078
22,66,19,0.325495,8.207831
22,67,19,0.262972,7.746741
22,68,19,0.395052,7.720972
23,69,16,0.124986,8.912470
23,70,46,0.201562,7.269036
23,71,13,0.147696,7.171462
24,72,19,0.265173,8.495918
24,73,5,0.227342,7.979934
24,74,5,0.216469,7.237653
25,75,24,0.233817,5.634828
25,76,45,0.304214,5.096791
25,77,5,0.179664,5.033909
26,78,7,0.100737,9.260177
26,79,19,0.092213,6.953173
26,80,42,0.074925,6.638453
27,81,5,0.181064,6.979840
27,82,46,0.167579,6.844017
27,83,39,0.192445,5.004106
28,84,1,0.379432,15.909469
28,85,7,0.149107,8.915255
28,86,20,0.088171,8.064846
29,87,25,0.079320,6.550920
29,88,44,0.109914,5.842151
29,89,25,0.086679,5.003686
30,90,5,0.193891,13.371269
30,91,46,0.246905,7.789577
30,92,19,0.154025,6.542310
31,93,29,0.250509,12.530613
31,94,19,0.253573,12.293978
31,95,46,0.090239,8.588411
32,96,19,0.185965,11.088194
32,97,19,0.256116,10.297522
32,98,5,0.099536,10.277208
33,99,46,0.282851,7.460762
33,100,46,0.262161,6.234759
33,101,1,0.234836,5.518767
34,102,24,0.181183,10.767243
34,103,26,0.213709,9.071371
34,104,16,0.083249,7.997289
35,105,37,0.092838,7.294413
35,106,27,0.143690,6.489534
35,107,19,0.241856,6.319368
36,108,7,0.289061,9.226974
36,109,32,0.139647,7.253113
36,110,26,0.375000,6.417777
37,111,39,0.369410,6.531509
37,112,39,0.210449,6.289560
37,113,11,0.290283,5.808392
38,114,27,0.156876,6.673311
38,115,39,0.224487,6.248268
38,116,27,0.172076,6.064667
39,117,21,0.194582,13.194154
39,118,45,0.259341,6.080820
39,119,5,0.327518,5.962603
40,120,27,0.151249,6.671251
40,121,11,0.142891,6.100171
40,122,5,0.287305,5.942741
41,123,11,0.642010,6.614697
41,124,32,0.222593,6.315395
41,125,18,0.215566,6.161687
42,126,8,0.095864,7.969769
42,127,27,0.158421,7.504366
42,128,27,0.105865,5.644367
43,129,29,0.330198,8.662397
43,130,29,0.217663,6.874247
43,131,19,0.240030,6.285594
44,132,26,0.540929,7.838754
44,133,26,0.474725,6.786618
44,134,11,0.429667,6.030169
45,135,27,0.160755,9.207245
45,136,11,0.087139,8.848022
45,137,17,0.136481,8.713356
46,138,14,0.201290,9.479735
46,139,39,0.266958,8.399264
46,140,35,0.207445,7.949167
