class,picked,y_pred,p_pred,loss
0,0,21,0.023386,3.895217
0,1,21,0.023346,3.893471
0,2,21,0.023353,3.892800
1,3,27,0.022569,3.902627
1,4,27,0.022456,3.892994
1,5,27,0.022372,3.890929
2,6,21,0.023788,3.878527
2,7,21,0.023594,3.876119
2,8,21,0.023638,3.875422
3,9,21,0.022742,3.841235
3,10,21,0.023568,3.840685
3,11,21,0.023446,3.840631
4,12,39,0.025885,3.917168
4,13,39,0.024195,3.896212
4,14,39,0.024012,3.894424
5,15,39,0.024455,3.912265
5,16,39,0.024438,3.907482
5,17,39,0.023631,3.893184
6,18,21,0.023683,3.867112
6,19,21,0.023660,3.866841
6,20,21,0.023507,3.865661
7,21,39,0.023287,3.907347
7,22,39,0.023247,3.905769
7,23,27,0.023074,3.902699
8,24,21,0.023468,3.885588
8,25,21,0.023297,3.882245
8,26,21,0.023398,3.882200
9,27,39,0.025944,3.898729
9,28,39,0.024947,3.884834
9,29,39,0.024281,3.875201
10,30,21,0.023663,3.893840
10,31,21,0.023661,3.893184
10,32,21,0.023633,3.891532
11,33,21,0.023711,3.907027
11,34,21,0.023700,3.905769
11,35,21,0.023473,3.901252
12,36,21,0.023670,3.857644
12,37,21,0.023804,3.857015
12,38,21,0.023992,3.856849
13,39,21,0.023834,3.873649
13,40,21,0.023831,3.873608
13,41,21,0.023845,3.873240
14,42,21,0.023866,3.887360
14,43,21,0.023722,3.884881
14,44,21,0.023299,3.878869
15,45,39,0.024210,3.934697
15,46,39,0.023736,3.921538
15,47,39,0.023588,3.916089
16,48,39,0.028370,3.893450
16,49,39,0.024847,3.877169
16,50,39,0.023930,3.876606
17,51,21,0.023891,3.829875
17,52,21,0.023907,3.829712
17,53,21,0.023194,3.829687
18,54,39,0.024421,3.958392
18,55,39,0.023248,3.929126
18,56,39,0.023143,3.924937
19,57,39,0.023448,3.923485
19,58,39,0.023115,3.913044
19,59,39,0.023187,3.912636
20,60,39,0.025414,3.901416
20,61,39,0.023563,3.883853
20,62,39,0.023363,3.883762
21,63,27,0.022930,3.884244
21,64,27,0.022650,3.861628
21,65,27,0.022612,3.859614
22,66,39,0.025318,3.868764
22,67,39,0.025447,3.867070
22,68,39,0.023939,3.862033
23,69,21,0.023837,3.878415
23,70,21,0.024020,3.877071
23,71,21,0.023589,3.876962
24,72,21,0.024020,3.992372
24,73,21,0.023343,3.956345
24,74,21,0.023227,3.953758
25,75,39,0.025333,3.908625
25,76,39,0.025120,3.903232
25,77,39,0.024973,3.901347
26,78,21,0.023870,3.856937
26,79,21,0.023677,3.854960
26,80,21,0.023443,3.851306
27,81,21,0.023770,3.865535
27,82,21,0.023678,3.863454
27,83,21,0.023534,3.858248
28,84,21,0.023859,3.877791
28,85,21,0.023815,3.877720
28,86,21,0.023836,3.876996
29,87,27,0.022905,3.916199
29,88,27,0.022814,3.908219
29,89,27,0.022801,3.907221
30,90,21,0.023636,3.876424
30,91,21,0.023563,3.873791
30,92,21,0.023589,3.873630
31,93,21,0.023583,3.852471
31,94,21,0.023976,3.851104
31,95,21,0.023065,3.850513
32,96,39,0.025745,3.893694
32,97,39,0.025377,3.889853
32,98,39,0.024472,3.885268
33,99,21,0.024000,3.889527
33,100,21,0.023898,3.888325
33,101,21,0.023860,3.887389
34,102,39,0.024760,3.984121
34,103,39,0.024365,3.974335
34,104,39,0.023764,3.953046
35,105,21,0.023939,3.862747
35,106,21,0.023844,3.862322
35,107,21,0.023793,3.861750
36,108,21,0.023782,3.901821
36,109,21,0.023667,3.899373
36,110,21,0.023552,3.894527
37,111,39,0.024793,3.902282
37,112,39,0.024666,3.900093
37,113,39,0.023932,3.889037
38,114,39,0.024863,3.904800
38,115,39,0.024433,3.899917
38,116,39,0.024507,3.899670
39,117,21,0.023604,3.928743
39,118,21,0.023474,3.921658
39,119,21,0.023453,3.919087
40,120,39,0.024387,3.937719
40,121,39,0.024349,3.934289
40,122,39,0.023472,3.909608
41,123,21,0.024082,3.866261
41,124,21,0.023985,3.865587
41,125,21,0.023903,3.865573
42,126,39,0.023375,3.913966
42,127,27,0.023082,3.902862
42,128,27,0.023035,3.901327
43,129,21,0.023727,3.915164
43,130,21,0.023502,3.905976
43,131,21,0.023379,3.903871
44,132,21,0.023947,3.854644
44,133,21,0.023827,3.853491
44,134,21,0.023505,3.852986
45,135,21,0.023929,3.841341
45,136,21,0.023490,3.837151
45,137,21,0.023519,3.836057
46,138,39,0.024339,3.925232
46,139,39,0.024018,3.915667
46,140,39,0.023114,3.891357
