class,picked,y_pred,p_pred,loss
0,0,39,0.076879,4.198249
0,1,39,0.056017,4.169546
0,2,39,0.058654,4.058183
1,3,29,0.048188,4.070723
1,4,3,0.029157,3.861540
1,5,29,0.034944,3.784212
2,6,27,0.056612,4.391078
2,7,8,0.038236,4.277263
2,8,39,0.072176,4.030575
3,9,39,0.083974,4.119515
3,10,39,0.086994,3.984524
3,11,8,0.053002,3.963288
4,12,15,0.031835,4.072539
4,13,6,0.028601,3.964602
4,14,6,0.030275,3.951250
5,15,39,0.051078,4.162377
5,16,39,0.038261,4.081772
5,17,43,0.029874,4.018150
6,18,19,0.033671,4.136144
6,19,1,0.043176,4.077545
6,20,18,0.027808,4.042879
7,21,35,0.044310,4.253584
7,22,14,0.030094,3.961554
7,23,43,0.028972,3.945790
8,24,28,0.030655,3.963667
8,25,9,0.026193,3.923795
8,26,45,0.036082,3.910566
9,27,39,0.047783,4.290634
9,28,6,0.030248,4.036733
9,29,39,0.034094,4.024247
10,30,29,0.036017,4.122878
10,31,29,0.036809,4.108571
10,32,29,0.034113,4.075082
11,33,19,0.030043,4.046742
11,34,31,0.029803,4.039345
11,35,1,0.029471,3.997010
12,36,36,0.046259,4.399489
12,37,39,0.045583,4.383531
12,38,39,0.059970,4.195070
13,39,39,0.047325,4.017959
13,40,39,0.056054,3.994253
13,41,27,0.046500,3.993491
14,42,29,0.032441,4.023451
14,43,21,0.026026,3.941195
14,44,5,0.032633,3.919751
15,45,39,0.055953,4.336535
15,46,39,0.034035,4.112741
15,47,39,0.060312,4.058124
16,48,39,0.147306,4.213800
16,49,43,0.034562,4.103040
16,50,24,0.035569,4.072826
17,51,29,0.036539,4.355645
17,52,29,0.034855,4.200499
17,53,29,0.033150,4.172122
18,54,39,0.057396,4.543324
18,55,35,0.050052,4.510636
18,56,35,0.070967,4.459282
19,57,33,0.027278,4.030730
19,58,24,0.026105,4.024960
19,59,30,0.031729,4.018673
20,60,29,0.031002,4.084909
20,61,1,0.037094,4.057278
20,62,35,0.037700,4.047995
21,63,39,0.036513,4.486251
21,64,10,0.030870,4.131923
21,65,24,0.028098,3.991859
22,66,29,0.036549,3.852293
22,67,17,0.033002,3.845900
22,68,29,0.041126,3.845076
23,69,29,0.041758,4.366699
23,70,29,0.038077,4.322691
23,71,29,0.038260,4.291409
24,72,29,0.038406,4.224875
24,73,5,0.043068,4.161040
24,74,19,0.031519,4.123497
25,75,35,0.034415,3.957473
25,76,39,0.050638,3.934227
25,77,27,0.039623,3.903873
26,78,31,0.031281,3.923411
26,79,31,0.034039,3.921116
26,80,0,0.031722,3.909482
27,81,29,0.037874,4.256367
27,82,29,0.036679,4.132531
27,83,7,0.029900,4.089419
28,84,1,0.049385,4.412489
28,85,43,0.037107,4.069915
28,86,18,0.036290,3.998795
29,87,45,0.036703,3.857477
29,88,18,0.029221,3.832358
29,89,45,0.038578,3.805785
30,90,36,0.032784,4.193468
30,91,16,0.029172,4.123645
30,92,6,0.028949,4.114160
31,93,29,0.041199,4.444121
31,94,29,0.040857,4.213402
31,95,29,0.035722,4.200425
32,96,29,0.041452,4.110792
32,97,19,0.032360,4.014729
32,98,29,0.036906,4.013496
33,99,1,0.034829,4.082808
33,100,29,0.039242,4.064171
33,101,29,0.031109,3.959493
34,102,39,0.060375,4.732892
34,103,10,0.042853,4.420750
34,104,39,0.040945,4.327493
35,105,25,0.025378,4.034013
35,106,1,0.032548,3.979218
35,107,39,0.083337,3.935708
36,108,7,0.037711,4.435956
36,109,1,0.034481,4.240753
36,110,45,0.033280,4.220244
37,111,39,0.061001,4.056450
37,112,5,0.030073,3.979273
37,113,8,0.032456,3.961638
38,114,39,0.059292,4.687361
38,115,43,0.051441,4.269597
38,116,43,0.052232,4.254594
39,117,42,0.030762,4.325117
39,118,29,0.039406,4.035280
39,119,29,0.033885,3.951408
40,120,39,0.067687,4.316607
40,121,39,0.046479,4.202662
40,122,27,0.041458,4.068525
41,123,45,0.050821,4.431355
41,124,45,0.042009,4.310611
41,125,43,0.040586,4.279007
42,126,24,0.031470,4.250243
42,127,40,0.028888,4.178757
42,128,45,0.027787,4.051974
43,129,29,0.038369,4.343050
43,130,3,0.032090,4.286105
43,131,35,0.036990,4.285106
44,132,45,0.039038,4.182068
44,133,45,0.034727,4.176410
44,134,45,0.031951,4.170219
45,135,36,0.029797,4.191005
45,136,27,0.030207,4.185921
45,137,33,0.032229,4.134805
46,138,39,0.075173,4.517265
46,139,43,0.043342,4.469696
46,140,39,0.057982,4.061624
