class,count,mean_loss,topK_losses_desc
0,400,0.027760,0.040193;0.039106;0.037977
1,400,0.014784,0.029276;0.028254;0.024381
2,400,0.027638,0.038741;0.038029;0.037176
3,400,0.028327,0.041008;0.039886;0.039684
4,400,0.025500,0.037024;0.035733;0.035040
5,400,0.027925,0.040811;0.040720;0.039486
6,400,0.025625,0.042620;0.037556;0.036422
7,400,0.021814,0.037269;0.033635;0.032309
8,400,0.029565,0.044185;0.042320;0.039761
9,400,0.025289,0.038306;0.037746;0.037258
10,400,0.028680,0.064029;0.048226;0.047650
11,400,0.035960,0.055703;0.052961;0.051919
12,400,0.025223,0.037795;0.034786;0.034714
13,400,0.030346,0.059308;0.049476;0.047244
14,400,0.029900,0.042800;0.042095;0.041871
15,400,0.025431,0.040725;0.039318;0.038554
16,400,0.032362,0.056190;0.051245;0.049764
17,400,0.028543,0.060324;0.045827;0.045755
18,400,0.016568,0.034358;0.032586;0.031248
19,400,0.023968,0.038793;0.037478;0.036292
20,400,0.027380,0.039574;0.038031;0.037771
21,400,0.016174,0.044758;0.025660;0.025323
22,400,0.029018,0.048972;0.045880;0.043854
23,400,0.027177,0.044332;0.043787;0.043534
24,400,0.027134,0.038353;0.037416;0.036911
25,400,0.026109,0.051289;0.045150;0.041044
26,400,0.036208,0.058876;0.055732;0.054417
27,400,0.030858,0.052892;0.045883;0.044548
28,400,0.027991,0.047755;0.042390;0.041441
29,400,0.021727,0.031328;0.030692;0.029263
30,400,0.026480,0.045560;0.042033;0.041353
31,400,0.023179,0.037083;0.029702;0.029603
32,400,0.031093,0.046053;0.045306;0.045212
33,400,0.025767,0.038978;0.037803;0.035858
34,400,0.022726,0.038685;0.033618;0.033278
35,400,0.027826,0.045026;0.042316;0.039437
36,400,0.028322,0.046092;0.041436;0.040380
37,400,0.025010,0.038032;0.037853;0.037017
38,400,0.026894,0.043449;0.036838;0.036475
39,400,0.028492,0.038222;0.037373;0.037343
40,400,0.024766,0.041615;0.036097;0.035644
41,400,0.029436,0.047141;0.044435;0.043286
42,400,0.022295,0.041685;0.035320;0.034732
43,400,0.025879,0.036279;0.034188;0.033623
44,400,0.028088,0.048213;0.047245;0.045961
45,400,0.021054,0.033092;0.031579;0.030700
46,400,0.022226,0.031353;0.030885;0.030680
